A_x [g],A_y [g],A_z [g],G_x [mdps],G_y [mdps],G_z [mdps]
-0.978684,0.022082,0.192882,-840.000000,280.000000,0.000000
-0.980026,0.023912,0.194468,-700.000000,140.000000,0.000000
-0.979660,0.023912,0.190930,-700.000000,140.000000,-140.000000
-0.979172,0.023302,0.193858,-700.000000,420.000000,-140.000000
-0.980026,0.024278,0.192638,-700.000000,560.000000,-140.000000
-0.979782,0.023058,0.192882,-700.000000,560.000000,140.000000
-0.981978,0.025010,0.193126,-560.000000,280.000000,420.000000
-0.978928,0.024034,0.192882,-280.000000,140.000000,280.000000
-0.979416,0.024278,0.191906,-140.000000,140.000000,140.000000
-0.979416,0.023302,0.191662,0.000000,140.000000,-140.000000
-0.978562,0.024644,0.190808,0.000000,0.000000,-140.000000
-0.980148,0.025498,0.193004,-140.000000,0.000000,-140.000000
-0.980758,0.024522,0.193370,-280.000000,0.000000,0.000000
-0.981124,0.024888,0.194834,-420.000000,280.000000,140.000000
-0.979538,0.023424,0.193736,-420.000000,280.000000,280.000000
-0.980270,0.024522,0.196786,-280.000000,140.000000,280.000000
-0.980514,0.024644,0.193126,-280.000000,140.000000,140.000000
-0.979904,0.024522,0.194346,-280.000000,0.000000,-140.000000
-0.980636,0.025376,0.193980,-280.000000,-140.000000,-140.000000
-0.978684,0.024522,0.192882,-280.000000,0.000000,-140.000000
-0.980514,0.024156,0.194346,-420.000000,140.000000,0.000000
-0.978440,0.024888,0.193492,-560.000000,280.000000,0.000000
-0.979050,0.025620,0.192516,-840.000000,280.000000,0.000000
-0.981002,0.026230,0.193614,-1120.000000,280.000000,-280.000000
-0.979660,0.024034,0.194834,-1120.000000,140.000000,-560.000000
-0.980392,0.027328,0.193492,-980.000000,0.000000,-420.000000
-0.979294,0.026718,0.192638,-980.000000,0.000000,-280.000000
-0.979782,0.025498,0.195444,-840.000000,140.000000,-280.000000
-0.979050,0.024888,0.193858,-840.000000,280.000000,-280.000000
-0.981368,0.025620,0.194712,-700.000000,420.000000,-280.000000
-0.981246,0.026596,0.193614,-700.000000,560.000000,-140.000000
-0.978562,0.025620,0.195078,-560.000000,560.000000,-140.000000
-0.980880,0.025376,0.194102,-560.000000,560.000000,-140.000000
-0.979782,0.023668,0.193370,-420.000000,280.000000,-140.000000
-0.980392,0.024644,0.195444,-420.000000,0.000000,-140.000000
-0.979416,0.025376,0.194834,-280.000000,-280.000000,-140.000000
-0.979416,0.025254,0.196054,-280.000000,-280.000000,0.000000
-0.978562,0.024888,0.196664,-280.000000,0.000000,0.000000
-0.979172,0.025620,0.195322,-420.000000,280.000000,0.000000
-0.981002,0.025132,0.194102,-560.000000,420.000000,0.000000
-0.978562,0.024644,0.195322,-700.000000,420.000000,-140.000000
-0.980026,0.024278,0.193126,-700.000000,140.000000,-140.000000
-0.980148,0.024766,0.194102,-700.000000,0.000000,-140.000000
-0.979172,0.023424,0.193736,-420.000000,0.000000,-140.000000
-0.982100,0.023668,0.195200,-420.000000,0.000000,0.000000
-0.978928,0.023424,0.193980,-560.000000,140.000000,140.000000
-0.980026,0.025620,0.194224,-840.000000,140.000000,140.000000
-0.980880,0.025132,0.194590,-980.000000,140.000000,140.000000
-0.980148,0.024522,0.192760,-980.000000,0.000000,0.000000
-0.980026,0.023546,0.193736,-980.000000,-140.000000,0.000000
-0.979782,0.023058,0.194834,-840.000000,0.000000,-140.000000
-0.980636,0.023912,0.194102,-560.000000,140.000000,-280.000000
-0.979416,0.023912,0.194102,-420.000000,280.000000,-280.000000
-0.979294,0.021594,0.194346,-420.000000,280.000000,-140.000000
-0.979050,0.022936,0.194224,-420.000000,280.000000,0.000000
-0.978562,0.023546,0.192760,-280.000000,280.000000,0.000000
-0.980270,0.023546,0.192760,-140.000000,280.000000,140.000000
-0.979904,0.021350,0.192028,-420.000000,140.000000,0.000000
-0.978562,0.022082,0.193004,-700.000000,0.000000,0.000000
-0.981124,0.022082,0.191906,-840.000000,-140.000000,-140.000000
-0.979782,0.022570,0.191784,-840.000000,-280.000000,0.000000
-0.980270,0.023790,0.194346,-840.000000,-280.000000,140.000000
-0.979782,0.020984,0.192516,-700.000000,-140.000000,420.000000
-0.980880,0.022814,0.192150,-840.000000,0.000000,560.000000
-0.979416,0.022448,0.193858,-700.000000,280.000000,420.000000
-0.980392,0.022204,0.194102,-560.000000,420.000000,280.000000
-0.979538,0.020984,0.192028,-420.000000,420.000000,280.000000
-0.980392,0.021838,0.189466,-420.000000,420.000000,140.000000
-0.980392,0.022326,0.192882,-280.000000,280.000000,140.000000
-0.979660,0.021228,0.191052,-140.000000,420.000000,0.000000
-0.980758,0.022082,0.193126,-280.000000,420.000000,0.000000
-0.980148,0.021594,0.193736,-560.000000,420.000000,0.000000
-0.980270,0.021106,0.192394,-840.000000,280.000000,140.000000
-0.979294,0.020252,0.192272,-980.000000,140.000000,140.000000
-0.978562,0.020618,0.192516,-840.000000,140.000000,0.000000
-0.977220,0.020252,0.192028,-420.000000,140.000000,-140.000000
-0.978684,0.020618,0.192882,-280.000000,140.000000,-140.000000
-0.979294,0.021472,0.193858,-420.000000,280.000000,0.000000
-0.979416,0.022326,0.191296,-700.000000,280.000000,0.000000
-0.980026,0.021960,0.192028,-980.000000,280.000000,0.000000
-0.979416,0.020374,0.193980,-980.000000,140.000000,-140.000000
-0.978562,0.020496,0.193858,-840.000000,0.000000,0.000000
-0.979172,0.019642,0.192882,-560.000000,0.000000,140.000000
-0.981002,0.022204,0.192882,-420.000000,280.000000,140.000000
-0.982222,0.020862,0.195444,-420.000000,420.000000,140.000000
-0.979538,0.021716,0.193248,-420.000000,420.000000,-140.000000
-0.981368,0.021838,0.192272,-560.000000,420.000000,-280.000000
-0.981246,0.020984,0.193248,-700.000000,280.000000,-140.000000
-0.979904,0.020496,0.193126,-700.000000,140.000000,0.000000
-0.980636,0.022204,0.192272,-700.000000,0.000000,140.000000
-0.979172,0.019642,0.193492,-700.000000,0.000000,140.000000
-0.979050,0.021472,0.193004,-700.000000,0.000000,0.000000
-0.978196,0.020496,0.193004,-700.000000,-140.000000,0.000000
-0.979538,0.020618,0.194468,-700.000000,-280.000000,0.000000
-0.978562,0.020740,0.193858,-700.000000,-420.000000,140.000000
-0.978684,0.020130,0.193736,-560.000000,-280.000000,280.000000
-0.979660,0.022448,0.194346,-560.000000,0.000000,420.000000
-0.978440,0.022204,0.194712,-420.000000,420.000000,280.000000
-0.979782,0.020862,0.195078,-420.000000,420.000000,140.000000
-0.980026,0.022204,0.194834,-420.000000,560.000000,140.000000
-0.979538,0.021594,0.193126,-420.000000,560.000000,140.000000
-0.981124,0.020496,0.190930,-560.000000,700.000000,140.000000
-0.981002,0.020984,0.194102,-560.000000,560.000000,0.000000
-0.980880,0.021838,0.192150,-560.000000,280.000000,-140.000000
-0.980148,0.021350,0.192394,-420.000000,280.000000,-140.000000
-0.980758,0.021350,0.193614,-420.000000,280.000000,-140.000000
-0.978196,0.021350,0.192882,-280.000000,420.000000,-140.000000
-0.980270,0.022326,0.195200,-560.000000,560.000000,-140.000000
-0.979904,0.022082,0.192150,-840.000000,420.000000,-140.000000
-0.979172,0.022082,0.193736,-980.000000,280.000000,-140.000000
-0.980636,0.021472,0.194834,-980.000000,280.000000,-140.000000
-0.981368,0.021594,0.192394,-980.000000,140.000000,0.000000
-0.979904,0.020984,0.193248,-840.000000,140.000000,0.000000
-0.979050,0.022570,0.192272,-840.000000,0.000000,0.000000
-0.977952,0.021472,0.193248,-840.000000,-140.000000,0.000000
-0.979782,0.022448,0.194834,-840.000000,0.000000,-140.000000
-0.980392,0.022448,0.194224,-560.000000,0.000000,-140.000000
-0.981612,0.022448,0.194224,-280.000000,140.000000,140.000000
-0.979416,0.021960,0.193736,-280.000000,420.000000,560.000000
-0.978684,0.022448,0.193492,-280.000000,700.000000,560.000000
-0.980514,0.022936,0.196542,-420.000000,560.000000,280.000000
-0.978318,0.021350,0.194590,-560.000000,280.000000,-140.000000
-0.980758,0.022082,0.193736,-700.000000,140.000000,-280.000000
-0.980514,0.023668,0.193858,-700.000000,0.000000,-140.000000
-0.981490,0.023790,0.194712,-700.000000,0.000000,-140.000000
-0.981124,0.023424,0.193980,-700.000000,0.000000,-140.000000
-0.980636,0.021594,0.194590,-560.000000,280.000000,-280.000000
-0.983198,0.023302,0.194468,-560.000000,420.000000,-280.000000
-0.981612,0.023302,0.192882,-560.000000,420.000000,-280.000000
-0.980270,0.023668,0.194712,-700.000000,140.000000,-280.000000
-0.978440,0.023546,0.193248,-840.000000,0.000000,0.000000
-0.980026,0.022692,0.193248,-840.000000,-140.000000,0.000000
-0.980026,0.024644,0.192882,-840.000000,0.000000,140.000000
-0.978684,0.022448,0.192516,-700.000000,140.000000,0.000000
-0.981978,0.024156,0.194712,-560.000000,140.000000,0.000000
-0.978318,0.023302,0.195322,-420.000000,140.000000,-140.000000
-0.980758,0.023790,0.193004,-420.000000,280.000000,0.000000
-0.979904,0.023180,0.193248,-420.000000,140.000000,140.000000
-0.978684,0.022448,0.194590,-560.000000,140.000000,280.000000
-0.979904,0.023546,0.192638,-560.000000,-140.000000,280.000000
-0.979660,0.022204,0.190930,-560.000000,-280.000000,140.000000
-0.979782,0.025010,0.195078,-840.000000,-280.000000,0.000000
-0.979782,0.022448,0.193858,-980.000000,-280.000000,-140.000000
-0.979782,0.022814,0.193980,-980.000000,-140.000000,-140.000000
-0.980514,0.023790,0.193492,-840.000000,-140.000000,0.000000
-0.980636,0.022936,0.195078,-560.000000,0.000000,140.000000
-0.980758,0.024400,0.194712,-560.000000,0.000000,0.000000
-0.979172,0.023424,0.194834,-560.000000,140.000000,0.000000
-0.980880,0.023302,0.193614,-560.000000,140.000000,140.000000
-0.979416,0.023424,0.193004,-560.000000,140.000000,280.000000
-0.978562,0.022570,0.192882,-560.000000,280.000000,140.000000
-0.979782,0.022692,0.193614,-700.000000,280.000000,-140.000000
-0.979050,0.023546,0.194224,-560.000000,140.000000,-140.000000
-0.981612,0.023668,0.193736,-280.000000,140.000000,-140.000000
-0.978806,0.021106,0.192028,-140.000000,140.000000,-140.000000
-0.979294,0.023424,0.195200,-140.000000,140.000000,-280.000000
-0.980026,0.024522,0.193980,-280.000000,0.000000,-280.000000
-0.979782,0.023424,0.193980,-560.000000,-140.000000,-140.000000
-0.980392,0.022448,0.192882,-700.000000,-140.000000,-280.000000
-0.979294,0.022936,0.192882,-840.000000,0.000000,-280.000000
-0.980026,0.023302,0.194102,-700.000000,0.000000,-140.000000
-0.979172,0.022448,0.192516,-700.000000,-140.000000,0.000000
-0.980392,0.022082,0.194468,-560.000000,-140.000000,0.000000
-0.979050,0.022082,0.194224,-700.000000,-140.000000,-140.000000
-0.981490,0.022204,0.194590,-700.000000,-140.000000,-140.000000
-0.980270,0.023424,0.193492,-700.000000,0.000000,0.000000
-0.979294,0.022326,0.193614,-700.000000,0.000000,0.000000
-0.980880,0.023180,0.193492,-700.000000,-140.000000,140.000000
-0.979416,0.022082,0.194102,-700.000000,-280.000000,140.000000
-0.978806,0.022082,0.195200,-700.000000,-140.000000,140.000000
-0.980636,0.021716,0.193980,-700.000000,0.000000,0.000000
-0.980758,0.021716,0.194712,-840.000000,0.000000,-140.000000
-0.981124,0.022448,0.192760,-840.000000,0.000000,-140.000000
-0.978928,0.021106,0.195322,-700.000000,-140.000000,0.000000
-0.979172,0.022082,0.193248,-700.000000,-420.000000,0.000000
-0.979660,0.021228,0.194102,-840.000000,-420.000000,0.000000
-0.979294,0.021960,0.193248,-1120.000000,-140.000000,0.000000
-0.980148,0.022570,0.195444,-980.000000,140.000000,140.000000
-0.978196,0.021350,0.193248,-700.000000,420.000000,140.000000
-0.981002,0.020862,0.192150,-280.000000,420.000000,0.000000
-0.979538,0.020740,0.190930,-280.000000,420.000000,-280.000000
-0.979294,0.023424,0.193126,-420.000000,280.000000,-280.000000
-0.981490,0.021228,0.192760,-560.000000,280.000000,-280.000000
-0.980636,0.020740,0.191784,-560.000000,280.000000,0.000000
-0.981856,0.021716,0.192882,-560.000000,420.000000,0.000000
-0.979538,0.020862,0.193492,-420.000000,560.000000,0.000000
-0.980758,0.021106,0.192028,-420.000000,560.000000,-140.000000
-0.978806,0.019764,0.192150,-420.000000,420.000000,-140.000000
-0.979660,0.021838,0.192516,-560.000000,280.000000,0.000000
-0.980148,0.021106,0.194346,-840.000000,420.000000,0.000000
-0.977708,0.020618,0.192028,-980.000000,560.000000,-280.000000
-0.981978,0.021350,0.191906,-980.000000,560.000000,-560.000000
-0.980270,0.021228,0.193248,-980.000000,420.000000,-700.000000
-0.980758,0.023546,0.193492,-840.000000,280.000000,-560.000000
-0.979416,0.021106,0.192638,-700.000000,140.000000,-280.000000
-0.979904,0.020740,0.192516,-700.000000,0.000000,0.000000
-0.979294,0.022204,0.192272,-700.000000,0.000000,140.000000
-0.979904,0.021472,0.192272,-700.000000,140.000000,140.000000
-0.980514,0.020252,0.194590,-560.000000,280.000000,140.000000
-0.979660,0.021350,0.193858,-560.000000,140.000000,0.000000
-0.981124,0.020618,0.193126,-560.000000,0.000000,-140.000000
-0.979538,0.021472,0.192272,-420.000000,0.000000,-140.000000
-0.981124,0.021838,0.193736,-280.000000,-140.000000,0.000000
-0.980026,0.020740,0.193614,-280.000000,-140.000000,-140.000000
-0.979660,0.023302,0.189954,-420.000000,0.000000,-140.000000
-0.979904,0.022570,0.194590,-420.000000,140.000000,-280.000000
-0.978440,0.022082,0.193492,-560.000000,280.000000,-280.000000
-0.979294,0.021594,0.194224,-700.000000,420.000000,-280.000000
-0.978684,0.022448,0.192882,-700.000000,560.000000,-280.000000
-0.978318,0.021960,0.193614,-840.000000,700.000000,-280.000000
-0.979294,0.023424,0.194224,-700.000000,700.000000,-280.000000
-0.978318,0.021960,0.194712,-700.000000,420.000000,-140.000000
-0.981124,0.021838,0.192516,-840.000000,280.000000,0.000000
-0.980636,0.022326,0.192394,-1120.000000,140.000000,0.000000
-0.979538,0.022204,0.193492,-1120.000000,140.000000,0.000000
-0.978196,0.021960,0.195078,-980.000000,280.000000,0.000000
-0.979660,0.021472,0.193492,-700.000000,420.000000,0.000000
-0.979660,0.023424,0.192882,-560.000000,560.000000,-140.000000
-0.978684,0.022692,0.195444,-700.000000,700.000000,-140.000000
-0.980148,0.023180,0.195322,-560.000000,700.000000,-140.000000
-0.978562,0.023180,0.194224,-420.000000,700.000000,0.000000
-0.980270,0.023424,0.193492,-560.000000,420.000000,140.000000
-0.979904,0.024156,0.194834,-700.000000,140.000000,280.000000
-0.978196,0.022448,0.195444,-840.000000,140.000000,280.000000
-0.980148,0.021594,0.195200,-840.000000,140.000000,140.000000
-0.978806,0.023180,0.195932,-840.000000,280.000000,0.000000
-0.979660,0.023912,0.194956,-840.000000,420.000000,0.000000
-0.980636,0.022692,0.195566,-840.000000,420.000000,140.000000
-0.978196,0.021716,0.196908,-840.000000,140.000000,280.000000
-0.980880,0.023546,0.196054,-700.000000,0.000000,140.000000
-0.979172,0.020984,0.194834,-700.000000,0.000000,-140.000000
-0.980270,0.023546,0.196420,-840.000000,140.000000,-140.000000
-0.979538,0.023180,0.195566,-840.000000,280.000000,-280.000000
-0.979782,0.023180,0.194224,-700.000000,420.000000,-280.000000
-0.979172,0.024156,0.194834,-560.000000,560.000000,-140.000000
-0.978074,0.021960,0.195078,-560.000000,700.000000,-140.000000
-0.979294,0.023424,0.195322,-560.000000,560.000000,-140.000000
-0.979660,0.020984,0.194346,-560.000000,420.000000,-280.000000
-0.979294,0.024156,0.194956,-700.000000,280.000000,-420.000000
-0.979904,0.023058,0.195810,-700.000000,280.000000,-280.000000
-0.979538,0.022936,0.195200,-700.000000,280.000000,0.000000
-0.981734,0.023668,0.194834,-700.000000,280.000000,140.000000
-0.978562,0.024644,0.195566,-700.000000,280.000000,140.000000
-0.981856,0.024034,0.195200,-700.000000,280.000000,140.000000
-0.979050,0.022326,0.194468,-420.000000,280.000000,140.000000
-0.979904,0.024034,0.194712,-420.000000,280.000000,0.000000
-0.979904,0.022570,0.193126,-420.000000,140.000000,0.000000
-0.979172,0.024156,0.191662,-420.000000,0.000000,0.000000
-0.980148,0.024034,0.193004,-560.000000,0.000000,140.000000
-0.978562,0.023424,0.195444,-700.000000,140.000000,280.000000
-0.979538,0.023790,0.193980,-840.000000,280.000000,280.000000
-0.979050,0.022082,0.193004,-980.000000,280.000000,140.000000
-0.980514,0.024034,0.193980,-980.000000,140.000000,-140.000000
-0.978318,0.024522,0.192638,-840.000000,140.000000,-280.000000
-0.980270,0.023668,0.193004,-700.000000,140.000000,-140.000000
-0.981124,0.023912,0.193248,-560.000000,140.000000,0.000000
-0.979416,0.022814,0.191662,-560.000000,140.000000,-140.000000
-0.980514,0.024766,0.193980,-700.000000,140.000000,-140.000000
-0.977952,0.022692,0.192760,-840.000000,0.000000,-140.000000
-0.980880,0.023790,0.193858,-980.000000,-140.000000,-420.000000
-0.982100,0.021716,0.193004,-980.000000,-140.000000,-560.000000
-0.979782,0.023668,0.191174,-980.000000,0.000000,-560.000000
-0.980270,0.025132,0.192028,-840.000000,140.000000,-280.000000
-0.979782,0.022448,0.191784,-560.000000,280.000000,0.000000
-0.980392,0.023668,0.193858,-420.000000,420.000000,0.000000
-0.980758,0.022692,0.192516,-420.000000,280.000000,-140.000000
-0.980148,0.024644,0.191174,-700.000000,0.000000,-140.000000
-0.979782,0.023058,0.192028,-980.000000,0.000000,0.000000
-0.979660,0.023058,0.192272,-980.000000,140.000000,140.000000
-0.979538,0.023912,0.190930,-700.000000,420.000000,280.000000
-0.979782,0.023180,0.191662,-420.000000,560.000000,420.000000
-0.981978,0.023180,0.193858,-280.000000,560.000000,280.000000
-0.980758,0.022692,0.191540,-420.000000,280.000000,-140.000000
-0.980758,0.023058,0.191418,-560.000000,280.000000,-420.000000
-0.979660,0.024522,0.192272,-840.000000,280.000000,-420.000000
-0.981978,0.024644,0.194102,-980.000000,280.000000,-280.000000
-0.981978,0.023546,0.192516,-980.000000,280.000000,-280.000000
-0.980758,0.021106,0.193492,-700.000000,280.000000,-280.000000
-0.979172,0.022326,0.193248,-420.000000,0.000000,-280.000000
-0.979660,0.023668,0.192760,-140.000000,-140.000000,-140.000000
-0.978562,0.023302,0.192638,-140.000000,-140.000000,0.000000
-0.980026,0.022204,0.193126,-140.000000,0.000000,0.000000
-0.980148,0.020740,0.192760,-280.000000,140.000000,-140.000000
-0.978928,0.021594,0.194712,-420.000000,280.000000,-140.000000
-0.980148,0.021106,0.192638,-420.000000,280.000000,-140.000000
-0.981856,0.022448,0.192028,-560.000000,420.000000,-280.000000
-0.982100,0.021838,0.192516,-560.000000,420.000000,-280.000000
-0.978928,0.021350,0.193004,-700.000000,420.000000,-420.000000
-0.979904,0.023180,0.192516,-700.000000,560.000000,-280.000000
-0.980148,0.022936,0.191906,-420.000000,560.000000,-140.000000
-0.980392,0.024278,0.191662,-140.000000,560.000000,140.000000
-0.979782,0.022692,0.190564,-280.000000,420.000000,140.000000
-0.979904,0.022448,0.195078,-560.000000,280.000000,0.000000
-0.978928,0.022326,0.194224,-840.000000,280.000000,-140.000000
-0.979294,0.022570,0.195688,-840.000000,280.000000,-140.000000
-0.979904,0.022082,0.195810,-560.000000,140.000000,-280.000000
-0.979294,0.022448,0.195444,-560.000000,140.000000,-280.000000
-0.980514,0.021838,0.195810,-560.000000,0.000000,-280.000000
-0.979294,0.022448,0.194102,-420.000000,-140.000000,-280.000000
-0.978928,0.020984,0.194102,-420.000000,-140.000000,-140.000000
-0.980880,0.022448,0.194590,-560.000000,0.000000,0.000000
-0.978440,0.021960,0.193492,-700.000000,280.000000,-140.000000
-0.981124,0.023668,0.193004,-840.000000,560.000000,0.000000
-0.976854,0.022570,0.194468,-980.000000,560.000000,140.000000
-0.978684,0.022082,0.192516,-1120.000000,420.000000,140.000000
-0.978684,0.023302,0.192028,-1120.000000,280.000000,140.000000
-0.978074,0.021228,0.192638,-1120.000000,280.000000,140.000000
-0.980392,0.023668,0.194834,-840.000000,280.000000,0.000000
-0.978928,0.022204,0.193614,-700.000000,420.000000,0.000000
-0.980514,0.023546,0.195200,-560.000000,560.000000,0.000000
-0.981612,0.021594,0.194834,-700.000000,560.000000,0.000000
-0.979660,0.022326,0.193614,-840.000000,560.000000,0.000000
-0.979660,0.022570,0.194956,-840.000000,420.000000,0.000000
-0.978684,0.020740,0.193126,-840.000000,420.000000,0.000000
-0.982832,0.023424,0.193980,-840.000000,420.000000,0.000000
-0.979538,0.021960,0.192882,-840.000000,280.000000,-140.000000
-0.979294,0.022204,0.195322,-980.000000,280.000000,-140.000000
-0.978928,0.020984,0.193492,-1120.000000,280.000000,-280.000000
-0.978928,0.022692,0.193370,-1120.000000,280.000000,-280.000000
-0.978684,0.024644,0.192638,-980.000000,420.000000,-140.000000
-0.978684,0.022326,0.194712,-980.000000,560.000000,-140.000000
-0.980758,0.024034,0.193736,-980.000000,280.000000,0.000000
-0.978928,0.021106,0.194346,-980.000000,0.000000,-140.000000
-0.981368,0.023424,0.193492,-840.000000,0.000000,-140.000000
-0.978806,0.022448,0.195322,-700.000000,0.000000,140.000000
-0.978562,0.021838,0.194468,-700.000000,-140.000000,280.000000
-0.981246,0.023180,0.193736,-840.000000,-140.000000,280.000000
-0.980026,0.023180,0.193980,-700.000000,-140.000000,280.000000
-0.980636,0.023790,0.194590,-420.000000,0.000000,140.000000
-0.977952,0.022936,0.191052,-280.000000,140.000000,140.000000
-0.981246,0.024766,0.195322,-420.000000,140.000000,0.000000
-0.981612,0.023058,0.194102,-420.000000,140.000000,0.000000
-0.982954,0.023790,0.194590,-560.000000,140.000000,0.000000
-0.982344,0.022692,0.194956,-560.000000,0.000000,0.000000
-0.980514,0.021960,0.192760,-700.000000,-140.000000,0.000000
-0.980270,0.022814,0.191784,-840.000000,-420.000000,0.000000
-0.979050,0.024278,0.192516,-700.000000,-420.000000,-140.000000
-0.979538,0.023790,0.192760,-700.000000,-280.000000,-140.000000
-0.979294,0.021838,0.194224,-700.000000,0.000000,-140.000000
-0.978440,0.023180,0.192150,-840.000000,280.000000,-140.000000
-0.978196,0.021960,0.194346,-840.000000,280.000000,0.000000
-0.976976,0.023424,0.193370,-840.000000,140.000000,0.000000
-0.979538,0.022936,0.190930,-840.000000,140.000000,140.000000
-0.978318,0.023424,0.192272,-700.000000,280.000000,140.000000
-0.979538,0.022326,0.192150,-560.000000,140.000000,0.000000
-0.979660,0.021594,0.191784,-420.000000,0.000000,140.000000
-0.979782,0.022204,0.191784,-420.000000,-140.000000,140.000000
-0.981490,0.024522,0.193004,-420.000000,0.000000,0.000000
-0.978196,0.025132,0.192150,-420.000000,140.000000,-140.000000
-0.978074,0.022082,0.193980,-420.000000,0.000000,-280.000000
-0.979050,0.022326,0.193736,-560.000000,-140.000000,0.000000
-0.980514,0.022326,0.193248,-560.000000,-140.000000,140.000000
-0.980270,0.022204,0.194956,-560.000000,0.000000,280.000000
-0.979904,0.023180,0.193858,-420.000000,140.000000,140.000000
-0.981002,0.023058,0.193004,-420.000000,140.000000,-140.000000
-0.980880,0.022570,0.193858,-560.000000,140.000000,-140.000000
-0.979660,0.023424,0.191784,-700.000000,280.000000,-280.000000
-0.980026,0.024034,0.194712,-980.000000,560.000000,-280.000000
-0.977708,0.020984,0.192150,-1120.000000,560.000000,-280.000000
-0.981490,0.022570,0.195566,-1120.000000,280.000000,-140.000000
-0.979782,0.024400,0.195078,-840.000000,-140.000000,0.000000
-0.981002,0.023668,0.195566,-560.000000,-140.000000,140.000000
-0.980026,0.021594,0.194590,-280.000000,0.000000,140.000000
-0.977830,0.021594,0.194834,-420.000000,140.000000,140.000000
-0.979660,0.024644,0.194346,-420.000000,0.000000,140.000000
-0.978806,0.023302,0.193004,-280.000000,0.000000,0.000000
-0.980148,0.022570,0.194834,-140.000000,0.000000,0.000000
-0.979660,0.022692,0.193858,-140.000000,140.000000,-140.000000
-0.980636,0.022936,0.193858,-140.000000,280.000000,0.000000
-0.981124,0.022692,0.194346,-420.000000,420.000000,140.000000
-0.980514,0.022936,0.192760,-560.000000,420.000000,140.000000
-0.980392,0.022204,0.194224,-560.000000,420.000000,140.000000
-0.979416,0.021228,0.193248,-560.000000,420.000000,140.000000
-0.980026,0.024644,0.192150,-420.000000,560.000000,140.000000
-0.980514,0.022448,0.191784,-560.000000,560.000000,140.000000
-0.980270,0.024034,0.193736,-700.000000,420.000000,0.000000
-0.979782,0.023668,0.192882,-700.000000,280.000000,0.000000
-0.980880,0.022570,0.193370,-700.000000,140.000000,0.000000
-0.981734,0.022936,0.193980,-840.000000,280.000000,-140.000000
-0.979294,0.022936,0.191418,-840.000000,280.000000,-140.000000
-0.981490,0.024888,0.191906,-700.000000,420.000000,-140.000000
-0.980636,0.023668,0.193004,-560.000000,420.000000,140.000000
-0.979538,0.020740,0.192638,-560.000000,280.000000,140.000000
-0.981612,0.021228,0.193858,-700.000000,280.000000,140.000000
-0.981002,0.023912,0.192638,-560.000000,420.000000,140.000000
-0.980148,0.023302,0.193614,-560.000000,560.000000,140.000000
-0.979416,0.022814,0.193736,-560.000000,560.000000,140.000000
-0.978806,0.022936,0.193980,-560.000000,140.000000,0.000000
-0.981002,0.022936,0.192882,-560.000000,-140.000000,-140.000000
-0.979904,0.023302,0.193492,-420.000000,-280.000000,-140.000000
-0.981002,0.023424,0.193126,-420.000000,-280.000000,-140.000000
-0.980514,0.023912,0.191906,-420.000000,-140.000000,-280.000000
-0.979050,0.023180,0.192760,-560.000000,0.000000,-280.000000
-0.979782,0.023180,0.193980,-700.000000,-140.000000,-140.000000
-0.979782,0.023302,0.195444,-560.000000,0.000000,0.000000
-0.979904,0.023424,0.193004,-420.000000,280.000000,0.000000
-0.979782,0.023912,0.194102,-420.000000,420.000000,-140.000000
-0.981124,0.024156,0.194956,-560.000000,420.000000,-140.000000
-0.978318,0.022814,0.194102,-560.000000,280.000000,-140.000000
-0.979416,0.022570,0.194590,-560.000000,140.000000,-280.000000
-0.981368,0.023302,0.193004,-700.000000,280.000000,-140.000000
-0.980148,0.022936,0.192638,-700.000000,280.000000,-140.000000
-0.980880,0.022082,0.193370,-700.000000,420.000000,-140.000000
-0.979538,0.023790,0.193736,-560.000000,420.000000,-140.000000
-0.981246,0.023790,0.193126,-560.000000,420.000000,-280.000000
-0.979660,0.022570,0.193736,-700.000000,280.000000,-140.000000
-0.981002,0.021960,0.194712,-840.000000,140.000000,-140.000000
-0.981246,0.021350,0.195444,-1120.000000,140.000000,-280.000000
-0.980758,0.023302,0.193614,-1120.000000,140.000000,-280.000000
-0.980392,0.021472,0.194468,-980.000000,280.000000,-140.000000
-0.979660,0.020740,0.192760,-700.000000,280.000000,0.000000
-0.980514,0.021350,0.195322,-420.000000,280.000000,140.000000
-0.980026,0.022570,0.194834,-280.000000,420.000000,0.000000
-0.980758,0.022936,0.193370,-280.000000,280.000000,-140.000000
-0.978074,0.021960,0.192272,-280.000000,280.000000,-140.000000
-0.979904,0.021472,0.193248,-420.000000,280.000000,-140.000000
-0.978806,0.022082,0.193126,-560.000000,140.000000,0.000000
-0.978684,0.020862,0.193370,-700.000000,-140.000000,140.000000
-0.978440,0.022692,0.192272,-560.000000,-140.000000,140.000000
-0.978684,0.020008,0.192516,-700.000000,-140.000000,140.000000
-0.979904,0.020984,0.193492,-700.000000,0.000000,280.000000
-0.978074,0.023058,0.193248,-840.000000,0.000000,280.000000
-0.978684,0.021960,0.192028,-980.000000,-140.000000,140.000000
-0.978806,0.022448,0.195444,-980.000000,-140.000000,140.000000
-0.979660,0.019764,0.192272,-840.000000,-140.000000,0.000000
-0.982466,0.022692,0.193614,-840.000000,140.000000,-140.000000
-0.981246,0.020984,0.193858,-700.000000,140.000000,-140.000000
